latitude,longitude,altitude,gs,timestamp,fix_quality
-19.87036514,-43.96279525,139.77,0.00,1776431141000,1
-19.87038040,-43.96279525,139.76,0.00,1776431141400,1
-19.87038040,-43.96277618,134.59,0.00,1776431141599,1
-19.87038040,-43.96277618,134.59,0.00,1776431141599,1
-19.87038040,-43.96277618,134.59,0.00,1776431141599,1
-19.87038040,-43.96277618,134.58,0.00,1776431141599,1
-19.87038040,-43.96277618,134.58,0.00,1776431141599,1
-19.87038040,-43.96277618,134.58,0.00,1776431141599,1
-19.87038040,-43.96277618,134.57,0.00,1776431142799,1
-19.87038040,-43.96277618,134.35,0.00,1776431142799,1
-19.87038421,-43.96277618,134.35,0.00,1776431142799,1
-19.87038421,-43.96277236,134.34,0.00,1776431143200,1
-19.87038421,-43.96277236,134.34,0.00,1776431143599,1
-19.87038421,-43.96277236,134.34,0.00,1776431143599,1
-19.87038421,-43.96277236,134.34,0.00,1776431143599,1
-19.87038803,-43.96277236,134.33,0.00,1776431144200,1
-19.87038803,-43.96276855,134.53,0.00,1776431144400,1
-19.87038803,-43.96276855,134.53,0.00,1776431144400,1
-19.87038803,-43.96276855,134.53,0.00,1776431144400,1
-19.87038803,-43.96276855,134.53,0.00,1776431144400,1
-19.87038803,-43.96276855,134.52,357.06,1776431145200,1
-19.87038993,-43.96276855,134.52,338.17,1776431145400,1
-19.87038993,-43.96276855,134.52,361.14,1776431145599,1
-19.87038993,-43.96276855,134.52,361.14,1776431145599,1
-19.87038993,-43.96276855,134.57,331.13,1776431146000,1
-19.87038993,-43.96276855,134.57,0.00,1776431146200,1
-19.87038993,-43.96276855,134.57,0.00,1776431146400,1
-19.87038993,-43.96276855,134.57,0.00,1776431146400,1
-19.87039184,-43.96276855,134.56,0.00,1776431146400,1
-19.87039184,-43.96276855,134.43,0.00,1776431147000,1
-19.87039184,-43.96276855,134.43,0.00,1776431147000,1
-19.87039184,-43.96276855,134.43,0.00,1776431147200,1
-19.87039184,-43.96276855,134.43,0.00,1776431147200,1
-19.87039184,-43.96276855,134.43,0.00,1776431147200,1
-19.87038993,-43.96276855,134.43,0.00,1776431147200,1
-19.87038993,-43.96276855,134.43,0.00,1776431148200,1
-19.87038993,-43.96276855,134.43,0.00,1776431148200,1
-19.87033271,-43.96276855,134.43,0.00,1776431148200,1
-19.87033271,-43.96282196,152.49,0.00,1776431148799,1
-19.87033271,-43.96282196,152.49,0.00,1776431149000,1
-19.87033271,-43.96282196,152.49,0.00,1776431149000,1
-19.87033271,-43.96282196,152.49,0.00,1776431149000,1
-19.87031173,-43.96282196,152.49,0.00,1776431149000,1
-19.87031173,-43.96284484,158.98,0.00,1776431149799,1
-19.87031173,-43.96284484,158.98,0.00,1776431149799,1
-19.87031173,-43.96284484,158.98,0.00,1776431149799,1
-19.87030982,-43.96284484,158.98,0.00,1776431150400,1
-19.87030982,-43.96284484,158.97,0.00,1776431150599,1
-19.87030982,-43.96284484,158.97,0.00,1776431150599,1
-19.87030792,-43.96284484,158.97,0.00,1776431150599,1
-19.87030792,-43.96285629,158.97,0.00,1776431151200,1
-19.87030792,-43.96285629,158.97,0.00,1776431151200,1
-19.87030792,-43.96285629,161.80,0.00,1776431151400,1
-19.87030792,-43.96285629,161.80,0.00,1776431151400,1
-19.87030792,-43.96285629,161.81,64.26,1776431151799,1
-19.87030792,-43.96285629,161.81,0.00,1776431152200,1
-19.87030792,-43.96285629,161.81,0.00,1776431152200,1
-19.87030792,-43.96285629,161.82,0.00,1776431152200,1
-19.87030792,-43.96286010,162.73,0.00,1776431152799,1
-19.87030792,-43.96286010,162.73,0.00,1776431152799,1
-19.87030792,-43.96286010,162.73,0.00,1776431152799,1
-19.87030982,-43.96286010,162.73,0.00,1776431153400,1
-19.87030982,-43.96286010,162.74,0.00,1776431153599,1
-19.87030982,-43.96286010,162.74,0.00,1776431153599,1
-19.87030982,-43.96286010,162.74,0.00,1776431153599,1
-19.87030982,-43.96286392,162.74,0.00,1776431154200,1
-19.87030982,-43.96286392,162.74,0.00,1776431154200,1
-19.87030982,-43.96286392,162.74,0.00,1776431154200,1
-19.87030982,-43.96286392,162.74,0.00,1776431154200,1
-19.87030982,-43.96286392,162.15,0.00,1776431155000,1
-19.87030982,-43.96286392,162.15,0.00,1776431155000,1
-19.87031173,-43.96286392,162.15,0.00,1776431155000,1
-19.87031173,-43.96286773,162.09,0.00,1776431155400,1
-19.87031173,-43.96286773,162.09,0.00,1776431155799,1
-19.87031173,-43.96286773,162.09,0.00,1776431155799,1
-19.87031173,-43.96286773,162.09,0.00,1776431155799,1
-19.87031173,-43.96286773,162.09,0.00,1776431156400,1
-19.87031173,-43.96286773,162.09,0.00,1776431156400,1
-19.87031555,-43.96286773,162.09,0.00,1776431156400,1
-19.87031555,-43.96287536,162.23,20.55,1776431156799,1
-19.87031555,-43.96287536,162.23,20.55,1776431156799,1
-19.87031364,-43.96287536,162.23,20.55,1776431156799,1
-19.87031364,-43.96287536,162.23,0.00,1776431157599,1
-19.87031364,-43.96287536,162.23,0.00,1776431157599,1
-19.87031364,-43.96287536,162.23,0.00,1776431157599,1
-19.87031364,-43.96287536,162.23,0.00,1776431157599,1
-19.87031555,-43.96287536,162.23,0.00,1776431157599,1
-19.87031555,-43.96287536,161.87,0.00,1776431158400,1
-19.87031555,-43.96287536,161.87,0.00,1776431158799,1
-19.87031555,-43.96287536,161.87,0.00,1776431158799,1
-19.87031555,-43.96287536,161.87,0.00,1776431158799,1
-19.87031555,-43.96287536,161.87,0.00,1776431159400,1
-19.87031555,-43.96287536,161.87,0.00,1776431159400,1
-19.87031173,-43.96287536,161.87,0.00,1776431159400,1
-19.87031173,-43.96287536,161.94,0.00,1776431160000,1
-19.87031173,-43.96287536,161.94,0.00,1776431160000,1
-19.87031173,-43.96287536,161.94,0.00,1776431160000,1
-19.87031173,-43.96287536,161.94,0.00,1776431160000,1
-19.87031173,-43.96287536,161.94,0.00,1776431160000,1
-19.87031173,-43.96287536,161.94,0.00,1776431160800,1
-19.87030792,-43.96287536,161.94,0.00,1776431160800,1
-19.87030792,-43.96287155,162.81,0.00,1776431161399,1
-19.87030792,-43.96287155,162.81,0.00,1776431161399,1
-19.87030792,-43.96287155,162.81,0.00,1776431161399,1
-19.87030792,-43.96287155,162.81,0.00,1776431161399,1
-19.87030792,-43.96287155,162.81,0.00,1776431162400,1
-19.87030792,-43.96287155,162.81,0.00,1776431162400,1
-19.87030601,-43.96287155,162.81,0.00,1776431162400,1
-19.87030601,-43.96287155,163.46,0.00,1776431162799,1
-19.87030601,-43.96287155,163.46,0.00,1776431162799,1
-19.87030601,-43.96287155,163.46,0.00,1776431162799,1
-19.87030601,-43.96287155,163.46,0.00,1776431163400,1
-19.87030601,-43.96287155,163.46,0.00,1776431163799,1
-19.87030601,-43.96287155,163.46,0.00,1776431163799,1
-19.87030601,-43.96287155,163.46,0.00,1776431163799,1
-19.87030601,-43.96287536,163.27,0.00,1776431164199,1
-19.87030601,-43.96287536,163.27,0.00,1776431164599,1
-19.87030601,-43.96287536,163.27,0.00,1776431164599,1
-19.87030601,-43.96287536,163.27,0.00,1776431164800,1
-19.87030601,-43.96287536,163.27,0.00,1776431164800,1
-19.87030601,-43.96287536,163.27,0.00,1776431164800,1
-19.87030601,-43.96287536,163.27,0.00,1776431165400,1
-19.87030220,-43.96287536,163.27,0.00,1776431165400,1
-19.87030220,-43.96287536,162.78,0.00,1776431165800,1
-19.87030220,-43.96287536,162.78,0.00,1776431165800,1
-19.87030220,-43.96287536,162.78,0.00,1776431165800,1
-19.87030220,-43.96287536,162.78,0.00,1776431166400,1
-19.87030220,-43.96287536,162.77,262.42,1776431166800,1
-19.87030220,-43.96287536,162.77,262.42,1776431166800,1
-19.87030220,-43.96287536,162.77,262.42,1776431166800,1
-19.87030220,-43.96287536,162.77,262.42,1776431166800,1
-19.87030220,-43.96287536,162.77,262.42,1776431166800,1
-19.87030220,-43.96287536,162.77,262.42,1776431166800,1
-19.87030220,-43.96287536,162.77,262.42,1776431166800,1
-19.87029647,-43.96287536,162.77,262.42,1776431166800,1
-19.87029647,-43.96287536,161.95,0.00,1776431168199,1
-19.87029647,-43.96287536,161.95,0.00,1776431168199,1
-19.87029075,-43.96287536,161.95,0.00,1776431168199,1
-19.87029075,-43.96287536,161.95,0.00,1776431168800,1
-19.87028884,-43.96287536,161.26,604.86,1776431169199,1
-19.87028884,-43.96287536,161.26,605.04,1776431169399,1
-19.87028884,-43.96287536,161.26,600.97,1776431169600,1
-19.87028884,-43.96287536,161.26,600.97,1776431169600,1
-19.87028884,-43.96287536,161.26,600.97,1776431169600,1
-19.87028884,-43.96287536,161.26,600.97,1776431169600,1
-19.87028884,-43.96287536,161.47,240.57,1776431170399,1
-19.87028884,-43.96287536,161.47,240.57,1776431170399,1
-19.87028884,-43.96287536,161.47,239.64,1776431170600,1
-19.87028884,-43.96287536,161.47,239.64,1776431170600,1
-19.87029075,-43.96287536,161.46,239.64,1776431170600,1
-19.87029075,-43.96287536,161.46,311.69,1776431171399,1
-19.87029075,-43.96287536,161.46,311.69,1776431171399,1
-19.87029075,-43.96287536,161.46,311.69,1776431171399,1
-19.87029075,-43.96287536,161.22,311.69,1776431171399,1
-19.87028884,-43.96287536,161.22,311.69,1776431171399,1
-19.87028884,-43.96287536,161.22,355.95,1776431172399,1
-19.87028884,-43.96287536,161.22,362.80,1776431172600,1
-19.87028884,-43.96287536,161.22,362.80,1776431172600,1
-19.87028884,-43.96287536,161.22,362.80,1776431172600,1
-19.87028884,-43.96287536,161.22,362.80,1776431172600,1
-19.87029457,-43.96287536,161.22,362.80,1776431172600,1
-19.87029457,-43.96287536,161.03,0.00,1776431173600,1
-19.87029457,-43.96287536,161.03,0.00,1776431173600,1
-19.87029457,-43.96287536,161.03,0.00,1776431173600,1
