=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.04.14 18:37:16 =~=~=~=~=~=~=~=~=~=~=~=
262,-19.87026017,-43.96284983,796.01,0.00,21,11,21.60,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,21.60,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,21.60,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,21.60,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,21.60,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,21.60,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,21.60,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,24.40,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,24.40,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,24.40,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.04.14 18:38:31 =~=~=~=~=~=~=~=~=~=~=~=
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,11,54.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,13,4.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,13,4.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,13,4.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,13,4.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,13,4.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,13,4.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,13,4.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,13,4.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,13,4.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,13,4.00,0
262,-19.87026017,-43.96284983,796.01,0.00,21,13,4.00,0
